ZCTA5	urban_rural-population-total_population	urban_rural-population-urban_total_population	urban_rural-population-rural_total_population	urban_rural-percent-urban_population-of-total_population	urban_rural-percent-rural_population-of-total_population
78235	357	357	0	1.0	0.0
78236	10392	10392	0	1.0	0.0
78237	36929	36929	0	1.0	0.0
78238	23514	23514	0	1.0	0.0
78239	28736	28736	0	1.0	0.0
78240	51111	51111	0	1.0	0.0
78242	31395	31395	0	1.0	0.0
78243	235	235	0	1.0	0.0
78244	30757	30753	4	1.0	0.0
78245	56511	54691	1820	0.968	0.032
78247	49176	49174	2	1.0	0.0
78248	13638	13638	0	1.0	0.0
78249	49951	49951	0	1.0	0.0
78250	54903	54903	0	1.0	0.0
78251	49435	49435	0	1.0	0.0
78252	7372	5373	1999	0.729	0.271
78253	29007	23285	5722	0.803	0.197
78254	44817	42939	1878	0.958	0.042
78255	10826	8700	2126	0.804	0.196
78256	6855	6814	41	0.994	0.006
78257	3950	3112	838	0.788	0.212
78258	40586	40586	0	1.0	0.0
78259	22660	21546	1114	0.951	0.049
78260	24844	23564	1280	0.948	0.052
78261	13513	11162	2351	0.826	0.174
78263	4673	646	4027	0.138	0.862
78264	12339	2855	9484	0.231	0.769
78266	5591	3834	1757	0.686	0.314
78330	878	0	878	0.0	1.0
78332	28710	20974	7736	0.731	0.269
78335	4	0	4	0.0	1.0
78336	11949	7991	3958	0.669	0.331
78338	37	0	37	0.0	1.0
78339	632	0	632	0.0	1.0
78340	379	0	379	0.0	1.0
78341	1760	0	1760	0.0	1.0
78342	386	0	386	0.0	1.0
78343	4525	3116	1409	0.689	0.311
78344	474	0	474	0.0	1.0
78349	505	0	505	0.0	1.0
78351	621	0	621	0.0	1.0
78352	179	0	179	0.0	1.0
78353	433	0	433	0.0	1.0
78355	7081	4929	2152	0.696	0.304
78357	3161	0	3161	0.0	1.0
78358	709	709	0	1.0	0.0
78359	1944	1748	196	0.899	0.101
78361	5350	4378	972	0.818	0.182
78362	9447	7795	1652	0.825	0.175
78363	30463	26011	4452	0.854	0.146
78368	9227	5936	3291	0.643	0.357
78369	444	0	444	0.0	1.0
78370	4877	2775	2102	0.569	0.431
78371	404	0	404	0.0	1.0
78372	5452	0	5452	0.0	1.0
78373	3585	0	3585	0.0	1.0
78374	16620	15876	744	0.955	0.045
78375	3352	2620	732	0.782	0.218
78376	554	0	554	0.0	1.0
78377	3821	2903	918	0.76	0.24
78379	1585	0	1585	0.0	1.0
78380	23141	13277	9864	0.574	0.426
78382	19364	15613	3751	0.806	0.194
78383	3539	0	3539	0.0	1.0
78384	6640	4757	1883	0.716	0.284
78385	277	0	277	0.0	1.0
78387	9574	6071	3503	0.634	0.366
78389	1541	0	1541	0.0	1.0
78390	5616	4401	1215	0.784	0.216
78391	325	0	325	0.0	1.0
78393	2379	0	2379	0.0	1.0
78401	5391	5391	0	1.0	0.0
78402	536	536	0	1.0	0.0
78404	17236	17236	0	1.0	0.0
78405	16867	16867	0	1.0	0.0
78406	1413	457	956	0.323	0.677
78407	2955	2955	0	1.0	0.0
78408	12061	12061	0	1.0	0.0
78409	2939	2540	399	0.864	0.136
78410	26387	26044	343	0.987	0.013
78411	28024	28024	0	1.0	0.0
78412	36003	36003	0	1.0	0.0
78413	36953	36721	232	0.994	0.006
78414	30165	29803	362	0.988	0.012
78415	39271	38142	1129	0.971	0.029
78416	15508	15508	0	1.0	0.0
78417	4176	3675	501	0.88	0.12
78418	29854	29232	622	0.979	0.021
78419	694	694	0	1.0	0.0
78501	61219	61219	0	1.0	0.0
78503	21706	21628	78	0.996	0.004
78504	48703	48338	365	0.993	0.007
78516	33722	33044	678	0.98	0.02
78520	59408	57462	1946	0.967	0.033
78521	93818	93031	787	0.992	0.008
78526	42460	42317	143	0.997	0.003
78535	581	527	54	0.907	0.093
78536	451	0	451	0.0	1.0
78537	39454	36912	2542	0.936	0.064
78538	10657	5143	5514	0.483	0.517
78539	30783	30783	0	1.0	0.0
78541	42431	38324	4107	0.903	0.097
78542	63293	57609	5684	0.91	0.09
78543	8447	8077	370	0.956	0.044
78545	555	0	555	0.0	1.0
78548	675	0	675	0.0	1.0
78549	990	0	990	0.0	1.0
78550	53152	51237	1915	0.964	0.036
78552	34111	32138	1973	0.942	0.058
78557	12547	12249	298	0.976	0.024
78558	882	856	26	0.971	0.029
78559	12751	9186	3565	0.72	0.28
78560	4368	4232	136	0.969	0.031
78561	779	0	779	0.0	1.0
78562	2868	2629	239	0.917	0.083
78563	376	0	376	0.0	1.0
78564	270	0	270	0.0	1.0
78565	402	315	87	0.784	0.216
78566	16230	12138	4092	0.748	0.252
78567	533	1	532	0.002	0.998
78569	4039	2556	1483	0.633	0.367
78570	32525	27525	5000	0.846	0.154
78572	75221	72979	2242	0.97	0.03
78573	34890	33611	1279	0.963	0.037
78574	57071	54051	3020	0.947	0.053
78575	8056	7480	576	0.929	0.071
78576	8775	6246	2529	0.712	0.288
78577	70840	70488	352	0.995	0.005
78578	12516	12137	379	0.97	0.03
78579	4580	4401	179	0.961	0.039
78580	14963	11925	3038	0.797	0.203
78582	40455	30471	9984	0.753	0.247
78583	6623	2990	3633	0.451	0.549
78584	18128	16044	2084	0.885	0.115
78585	396	0	396	0.0	1.0
78586	55878	44644	11234	0.799	0.201
78588	238	0	238	0.0	1.0
78589	38004	37587	417	0.989	0.011
78590	289	0	289	0.0	1.0
78591	265	0	265	0.0	1.0
78592	836	0	836	0.0	1.0
78593	6324	3912	2412	0.619	0.381
78594	1990	0	1990	0.0	1.0
78595	6082	5208	874	0.856	0.144
78596	63844	61502	2342	0.963	0.037
78597	2885	2813	72	0.975	0.025
78598	226	0	226	0.0	1.0
78602	25160	13371	11789	0.531	0.469
78605	4952	0	4952	0.0	1.0
78606	5205	0	5205	0.0	1.0
78607	166	0	166	0.0	1.0
78608	434	0	434	0.0	1.0
78609	2012	0	2012	0.0	1.0
78610	23502	17360	6142	0.739	0.261
78611	12977	5428	7549	0.418	0.582
78612	11457	0	11457	0.0	1.0
78613	65099	64815	284	0.996	0.004
78614	456	0	456	0.0	1.0
78615	1290	0	1290	0.0	1.0
78616	7092	0	7092	0.0	1.0
